"Trait","Number of DGRP lines measured","Sex","Trait guild","Trait description","Reference"
"E.faecalis.resistance.m","199","Male","Pathogen response","Mean proportion of adult flies that were alive 5 days after infection with the bacterial pathogen E. faecalis. Higher values indicate greater resistance to E. faecalis","Chapman et al (2020) Genes"
"eclosion.to.oviposition.time.16C.f","39","Female","Population","Estimated mean time from eclosion to laying an egg (days), when reared under fluctuating temperature controlled conditions, with a mean of 16.8C ± 6. Calculated as T= Σ(lxmx)/R0 (see net.reproductive.rate for parameter definitions. Higher values indicate a longer generation time.","Gerken, Eller and Morgan (2014) PhD thesis"
"eclosion.to.oviposition.time.23C.f","39","Female","Population","Estimated mean time from eclosion to laying an egg (days), when reared under fluctuating temperature controlled conditions, with a mean of 23.8C ± 6. Calculated as T= Σ(lxmx)/R0 (see net.reproductive.rate for parameter definitions. Higher values indicate a longer generation time.","Gerken, Eller and Morgan (2014) PhD thesis"
"egg.adult.dev.time.20C.f","50","Female","Life history","Egg-to-adult development time when reared at 20C, recorded to the nearest 8 hours. Higher values indicate a longer development time.","Ellis et al (2014) PLOS Genetics"
"egg.adult.dev.time.25C.f","50","Female","Life history","Egg-to-adult development time when reared at 25C, recorded to the nearest 8 hours. Higher values indicate a longer development time.","Ellis et al (2014) PLOS Genetics"
"egg.adult.dev.time.30C.f","50","Female","Life history","Egg-to-adult development time when reared at 30C, recorded to the nearest 8 hours. Higher values indicate a longer development time.","Ellis et al (2014) PLOS Genetics"
"egg.adult.development.time.2016.f","198","Female","Life history","Mean egg-to-adult development time in days, when reared at 25C on control food medium. Higher values indicate a longer development time.","Zhou et al (2016) Environmental Health Perspectives"
"egg.adult.development.time.2016.m","198","Male","Life history","Mean egg-to-adult development time in days, when reared at 25C on control food medium. Higher values indicate a longer development time.","Zhou et al (2016) Environmental Health Perspectives"
"egg.adult.development.time.2018","201","Both","Life history","Mean development time in days from egg to adult eclosion, on a standard diet. Higher values indicate a longer development time.","Morozova (2018) G3"
"egg.adult.development.time.EtOH.exposure","201","Both","Life history","Mean development time in days from egg to adult eclosion, on a diet supplemented with 10% EtOH (ethanol). Higher values indicate a longer development time.","Morozova (2018) G3"
"egg.adult.viability.2014.25C","50","Both","Life history","Proportion of 75 eggs in a vial that successfully survived to adulthood at 25C. Higher values indicate greater survival.","Ellis et al (2014) PLOS Genetics"
"egg.adult.viability.2016","200","Both","Life history","Mean proportion of flies surviving to adulthood, when reared at 25C on control food medium. Higher values indicate greater survival.","Zhou et al (2016) Environmental Health Perspectives"
"egg.adult.viability.2016.25C","27","Both","Life history","Mean proportion of eggs that survived to adulthood, when reared at 25C. Higher values indicate greater viability.","Duun Rohde et al (2016) International Journal of Genomics"
"egg.adult.viability.2018","201","Both","Life history","Percentage of flies surviving to eclosion, after development on standard food. Higher values indicate greater viability.","Morozova (2018) G3"
"egg.adult.viability.20C","50","Both","Life history","Proportion of 75 eggs in a vial that successfully survived to adulthood at 20C. Higher values indicate greater survival.","Ellis et al (2014) PLOS Genetics"
"egg.adult.viability.28C","26","Both","Life history","Mean proportion of eggs that survived to adulthood, when reared at 28C. Higher values indicate greater viability.","Duun Rohde et al (2016) International Journal of Genomics"
"egg.adult.viability.30C","50","Both","Life history","Proportion of 75 eggs in a vial that successfully survived to adulthood at 30C. Higher values indicate greater survival.","Ellis et al (2014) PLOS Genetics"
"egg.adult.viability.EtOH.exposure","201","Both","Drug response","Percentage of flies surviving to eclosion, after development on food supplemented with 10% EtOH (ethanol). Higher values indicate greater viability.","Morozova (2018) G3"
"egg.larva.viability","43","Both","Life history","Mean proportion of eggs that hatched. Higher values indicate a greater proportion of viable eggs.","Horvath, Betancourt and Kalinka (2016) BMC Evolutionary Biology"
"egg.pupa.viability.20C","45","Both","Life history","Proportion of 75 eggs in a vial that successfully survived to pupation at 20C. Higher values indicate greater survival.","Ellis et al (2014) PLOS Genetics"
"egg.pupa.viability.25C","49","Both","Life history","Proportion of 75 eggs in a vial that successfully survived to pupation at 25C. Higher values indicate greater survival.","Ellis et al (2014) PLOS Genetics"
"egg.pupa.viability.30C","45","Both","Life history","Proportion of 75 eggs in a vial that successfully survived to pupation at 30C. Higher values indicate greater survival.","Ellis et al (2014) PLOS Genetics"
"eggs.per.day.16C.f","39","Female","Reproduction","Average number of eggs laid per day across a female’s lifetime. Measured under fluctuating temperature controlled conditions, with a mean of 16.8C ± 6. Higher values indicate greater fecundity.","Gerken, Eller and Morgan (2014) PhD thesis"
"eggs.per.day.23C.f","39","Female","Reproduction","Average number of eggs laid per day across a female’s lifetime. Measured under fluctuating temperature controlled conditions, with a mean of 23.8C ± 6. Higher values indicate greater fecundity.","Gerken, Eller and Morgan (2014) PhD thesis"
"Enterococcus.hirae.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Enterococcus.hirae.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"epinephrine.high.yeast.f","178","Female","Metabolome","Mean relative epinephrine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"epinephrine.low.yeast.f","178","Female","Metabolome","Mean relative epinephrine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"Escherichia.coli.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Escherichia.coli.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"ethanol.sensitivity.development.time","201","Both","Stress resistance","The mean difference in egg-to-adult development time in days, between those reared on ethanol-supplemented (10% EtOH) and standard food medium. Higher values indicate a longer development time for ethanol-supplemented flies.","Morozova (2018) G3"
"ethanol.sensitivity.first.exposure.f","205","Female","Drug response","Mean knockdown time (minutes) after a single exposure to ethanol. Higher values indicate a greater ethanol tolerance.","Morozova el al. (2015) BMC Genomics"
"ethanol.sensitivity.first.exposure.m","205","Male","Drug response","Mean knockdown time (minutes) after a single exposure to ethanol. Higher values indicate a greater ethanol tolerance.","Morozova el al. (2015) BMC Genomics"
"ethanol.sensitivity.second.exposure.f","205","Female","Drug response","Mean knockdown time (minutes) after a second exposure to ethanol, following a 2 hr recovery period. Higher values indicate a greater ethanol tolerance.","Morozova el al. (2015) BMC Genomics"
"ethanol.sensitivity.second.exposure.m","205","Male","Drug response","Mean knockdown time (minutes) after a second exposure to ethanol, following a 2 hr recovery period. Higher values indicate a greater ethanol tolerance.","Morozova el al. (2015) BMC Genomics"
"ethanol.sensitivity.startle.response.f","38","Female","Stress resistance","Mean difference in the amount of time adult flies remained mobile across a 60 second period following mechanical disturbance, between those grown on 10% EtOH (ethanol) supplemented food and those that developed on standard medium. Lower values indicate a greater negative effect on startle response.","Morozova (2018) G3"
"ethanol.sensitivity.startle.response.m","38","Male","Stress resistance","Mean difference in the amount of time adult flies remained mobile across a 60 second period following mechanical disturbance, between those grown on 10% EtOH (ethanol) supplemented food and those that developed on standard medium. Lower values indicate a greater negative effect on startle response.","Morozova (2018) G3"
"ethanol.sensitivity.viability","201","Both","Stress resistance","The mean difference in the percentage of flies surviving to eclosion, between those reared on ethanol-supplemented (10% EtOH) and standard food medium. Lower values indicate a greater negative effect of ethanol on egg to adult viability.","Morozova (2018) G3"
"ethanol.tolerance.f","205","Female","Drug response","Mean difference in knockdown time between a second and first exposure to ethanol. Higher values indicate lines with higher tolerances to ethanol.","Morozova el al. (2015) BMC Genomics"
"ethanol.tolerance.m","205","Male","Drug response","Mean difference in knockdown time between a second and first exposure to ethanol. Higher values indicate lines with higher tolerances to ethanol.","Morozova el al. (2015) BMC Genomics"
"exercise.induced.activity.f","149","Female","Activity","Exercise induced activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Activity was induced by vertically rotating vials at four rpm. Higher values indicate higher exercise induced activity levels.","Watanabe et al (2020) G3"
"exercise.induced.activity.m","148","Male","Activity","Exercise induced activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Activity was induced by vertically rotating vials at four rpm. Higher values indicate higher exercise induced activity levels.","Watanabe et al (2020) G3"
"Exophiala.xenobiotica.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Exophiala.xenobiotica.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"fecundity.f","142","Female","Reproduction","Mean number of eggs produced by single females, per day. Higher values indicate more fecund females.","Evangelou et al (2019) G3"
"fertilised.egg.retention.score.f","91","Female","Reproduction","Mean fertilised egg retention score. An estimation of the progression of embryo development taken two hours after a one hour egg laying period. Higher values indicate more developed embryos which signifies a greater degree of egg retention. Note that both males and femlaes were sourced from the DGRP line, therefore variation could be explained by either the male or female genotype.","Horvath and Kalinka (2018) Evolution"
"fertility.25C.f","40","Female","Reproduction","Mean proportion of females that produced viable larvae. Females were reared at 25C. Higher values indicates greater fertility.","Zwoinska et al (2020) Frontiers in Genetics"
"fertility.25C.m","126","Male","Reproduction","Mean proportion of males that produced viable larvae. Males were reared at 25C. Higher values indicates greater fertility.","Zwoinska et al (2020) Frontiers in Genetics"
"fertility.27C.f","40","Female","Reproduction","Mean proportion of females that produced viable larvae. Females were reared at 27C. Higher values indicates greater fertility","Zwoinska et al (2020) Frontiers in Genetics"
"fertility.27C.m","124","Male","Reproduction","Mean proportion of males that produced viable larvae. Males were reared at 27C. Higher values indicates greater fertility","Zwoinska et al (2020) Frontiers in Genetics"
"fertility.29C.f","40","Female","Reproduction","Mean proportion of females that produced viable larvae. Females were reared at 29C. Higher values indicates greater fertility","Zwoinska et al (2020) Frontiers in Genetics"
"fertility.29C.m","122","Male","Reproduction","Mean proportion of males that produced viable larvae. Males were reared at 29C. Higher values indicates greater fertility","Zwoinska et al (2020) Frontiers in Genetics"
"fertility.thermal.susceptibility.f","40","Female","Reproduction","Mean slope of the change in female fertility (the proportion of males that produced viable larvae), between 25C, 27C and 29C rearing conditions. Lower slope values indicate a greater decrease in fertility with an increase in temperature. This is a measure of thermal susceptibility.","Zwoinska et al (2020) Frontiers in Genetics"
"fertility.thermal.susceptibility.m","127","Male","Reproduction","Mean slope of the change in male fertility (the proportion of males that produced viable larvae), between 25C, 27C and 29C rearing conditions. Lower slope values indicate a greater decrease in fertility with an increase in temperature. This is a measure of thermal susceptibility.","Zwoinska et al (2020) Frontiers in Genetics"
"FHV.resistance.m","182","Male","Pathogen response","Mean days survived after infection with Flock House Virus (FHV) - a nodavirus virus that typically infects beetles. Higher values indicate a longer lifespan, and therefore a greater resistance to FHV.","Magwire et al (2012) PLOS Genetics"
"Fimbriimonas.ginsengisoli.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Fimbriimonas.ginsengisoli.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"fitness.early.f","125","Female","Reproduction","Mean absolute number of first instar larvae produced when 2-5 day old focal DGRP females were placed in a vial with some competitor females and standard males. Focal females and their same-sex competitors were not replaced when they died, such that the fitness assays depend upon mortality as well as offspring production. Higher values indicate higher fitness.","Wong and Holman (in prep)"
"fitness.early.m","125","Male","Reproduction","Mean proportion of first instar larvae produced when 2-5 day old focal DGRP males were placed in a vial with some competitor males and standard females. Focal males and their same-sex competitors were not replaced when they died, such that the fitness assays depend upon mortality as well as offspring production. Higher values indicate higher fitness.","Wong and Holman (in prep)"
"fitness.late.f","125","Female","Reproduction","Mean absolute number of first instar larvae produced when 14-17 day old focal DGRP females were placed in a vial with some competitor females and standard males. Focal females and their same-sex competitors were not replaced when they died, such that the fitness assays depend upon mortality as well as offspring production. Higher values indicate higher fitness.","Wong and Holman (in prep)"
"fitness.late.m","125","Male","Reproduction","Mean proportion of first instar larvae produced when 2-5 day old focal DGRP males were placed in a vial with some competitor males and standard females. Focal males and their same-sex competitors were not replaced when they died, such that the fitness assays depend upon mortality as well as offspring production. Higher values indicate higher fitness.","Wong and Holman (in prep)"
"flight.performance.f","197","Female","Activity","Mean height (m) at which flies catch themselves from freefall after vial inversion. Means are adjusted for wolbachia and chromosomal inversions. Higher values indicate lines that caught themselves earlier, which is interpreted as greater flight performance.","Spierer et al (2021) PLOS Genetics"
"flight.performance.m","197","Male","Activity","Mean height (m) at which flies catch themselves from freefall after rapid inversion. Means are adjusted for wolbachia and chromosomal inversions. Higher values indicate lines that caught themselves earlier, which is interpreted as greater flight performance.","Spierer et al (2021) PLOS Genetics"
"following.same.sex.m","50","Male","Behavioural","Incidence of DGRP males following an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of following.","Bailey and Hoskins (2014) Evolution"
"food.intake.f","183","Female","Life history","Mean quantity of 4% sucrose solution consumed per fly iover a 24 hour period. Higher values indicate greater food intake.","Garlapow et al (2015) PLOS One"
"food.intake.m","182","Male","Life history","Mean quantity of 4% sucrose solution consumed per fly over a 24 hour period. Higher values indicate greater food intake.","Garlapow et al (2015) PLOS One"
"foraging.survival.m","201","Male","Life history","Adult mean survival when flies were provided access to food over a 5 day period. Higher values indicate greater survival and assumed greater foraging ability.","Lee et al (2017) Genome Biology and Evolution"
"G1P.G6P.F6P.F1P.high.yeast.f","178","Female","Metabolome","Mean relative G1P, G6P, F6P and F1P concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolites. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"G1P.G6P.F6P.F1P.low.yeast.f","178","Female","Metabolome","Mean relative G1P, G6P, F6P and F1P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolites. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"Gardnerella.vaginalis.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Gardnerella.vaginalis.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Gemmata.obscuriglobus.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Gemmata.obscuriglobus.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Gemmata.sp..f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Gemmata.sp..m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"genital.licking.frequency.m","166","Male","Behavioural","Mean number of genital licks by DGRP male while courting a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater frequency of genital licking, and potentially more persistent courtship.","Gaertner et al (2015) G3"
"genome.size","205","Both","Genomic","Mean size of the genome in mb, estimated using flow cytometry. Higher values indicate a larger genome.","Huang et al (2014) Genome Research & Ellis et al (2014) PLOS Genetics"
"geranyl.pyrophosphate.high.yeast.f","178","Female","Metabolome","Mean relative geranyl pyrophosphate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"geranyl.pyrophosphate.low.yeast.f","178","Female","Metabolome","Mean relative geranyl pyrophosphate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"Gluconacetobacter.diazotrophicus.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Gluconacetobacter.diazotrophicus.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Gluconobacter.frateurii.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Gluconobacter.frateurii.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Gluconobacter.morbifer.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Gluconobacter.morbifer.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Gluconobacter.oxydans.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Gluconobacter.oxydans.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Gluconobacter.thailandicus.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Gluconobacter.thailandicus.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"glucoronate.high.yeast.f","178","Female","Metabolome","Mean relative glucoronate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glucoronate.low.yeast.f","178","Female","Metabolome","Mean relative glucoronate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glucose.2015.m","145","Male","Metabolome","Estimated mass of free glucose per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.","Unckless, Rottschaefer and Lazzaro (2015) G3"
"glucose.2018.f","36","Female","Metabolome","Mean quantity of glucose per adult fly. Higher values indicate a higher glucose content.","Jehrke et al (2018) Scientific Reports"
"glucose.2018.m","36","Male","Metabolome","Mean quantity of glucose per adult fly. Higher values indicate a higher glucose content.","Jehrke et al (2018) Scientific Reports"
"glucose.2019.f","40","Female","Metabolome","Mean free glucose (mg/ul) extracted from 10 flies. Higher values indicate greater levels of free glucose.","Zhou et al (2019) Genome Research"
"glucose.2019.m","40","Male","Metabolome","Mean free glucose (mg/ul) extracted from 10 flies. Higher values indicate greater levels of free glucose.","Zhou et al (2019) Genome Research"
"glucose.anexic.m","103","Male","Metabolome","Mean combined glucose content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher glucose content.","Dobson et al (2015) Nature Communications"
"glucose.fructose.preference.f","76","Female","Sensory","Mean preference for glucose when given a choice between glucose and fructose. Higher values indicate a greater preference for glucose consumption.","Uchizono and Tamimura (2017) Chemical Senses"
"glucose.fructose.preference.m","76","Male","Sensory","Mean preference for glucose when given a choice between glucose and fructose. Higher values indicate a greater preference for glucose consumption.","Uchizono and Tamimura (2017) Chemical Senses"
"glucose.gnotobiotic.m","117","Male","Metabolome","Mean combined glucose content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher glucose content.","Dobson et al (2015) Nature Communications"
"glucose.high.glucose.diet.m","147","Male","Metabolome","Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of free glucose.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"glucose.high.yeast.f","178","Female","Metabolome","Mean relative glucose concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glucose.larvae.2018","35","Both","Metabolome","Mean quantity of glucose per third instar larvae. Higher values indicate a higher glucose content.","Jehrke et al (2018) Scientific Reports"
"glucose.low.glucose.diet.m","150","Male","Metabolome","Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of free glucose.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"glucose.low.yeast.f","178","Female","Metabolome","Mean relative glucose concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glucose.medium.glucose.diet.m","152","Male","Metabolome","Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of free glucose.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"glucose.microbiome.effect.m","86","Male","Microbiome","Mean change in the combined glucose content of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher glucose content. Note though that the presence of micriobiota on average decreased glucose content.","Dobson et al (2015) Nature Communications"
"glucose.sucrose.preference.f","37","Female","Sensory","Mean preference for glucose when given a choice between glucose and sucrose. Higher values indicate a greater preference for glucose consumption.","Uchizono and Tamimura (2017) Chemical Senses"
"glucose.sucrose.preference.m","37","Male","Sensory","Mean preference for glucose when given a choice between glucose and sucrose. Higher values indicate a greater preference for glucose consumption.","Uchizono and Tamimura (2017) Chemical Senses"
"glucose.trehalose.preference.f","37","Female","Sensory","Mean preference for glucose when given a choice between glucose and trehalose. Higher values indicate a greater preference for glucose consumption.","Uchizono and Tamimura (2017) Chemical Senses"
"glucose.trehalose.preference.m","37","Male","Sensory","Mean preference for glucose when given a choice between glucose and trehalose. Higher values indicate a greater preference for glucose consumption.","Uchizono and Tamimura (2017) Chemical Senses"
"glucose.yeast.poor.diet.f","181","Female","Metabolome","Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 0.5% yeast content (dietary restricted) were homogenised. Higher values indicate higher glucose levels.","Nelson et al (2016) BMC Genomics"
"glucose.yeast.rich.diet.f","181","Female","Metabolome","Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 5% yeast content (ab libitum diet) were homogenised. Higher values indicate higher glucose levels.","Nelson et al (2016) BMC Genomics"
"glutamic.acid.high.yeast.f","178","Female","Metabolome","Mean relative glutamic acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glutamic.acid.low.yeast.f","178","Female","Metabolome","Mean relative glutamic acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glutamine.high.yeast.f","178","Female","Metabolome","Mean relative glutamine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glutamine.low.yeast.f","178","Female","Metabolome","Mean relative glutamine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glyceraldehyde.high.yeast.f","178","Female","Metabolome","Mean relative glyceraldehyde concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glyceraldehyde.low.yeast.f","178","Female","Metabolome","Mean relative glyceraldehyde concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glycerate.high.yeast.f","178","Female","Metabolome","Mean relative glycerate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glycerate.low.yeast.f","178","Female","Metabolome","Mean relative glycerate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glycerol-3-P.high.yeast.f","178","Female","Metabolome","Mean relative glycerol-3-P concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glycerol-3-P.low.yeast.f","178","Female","Metabolome","Mean relative glycerol-3-P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glycerol.2015.m","145","Male","Metabolome","Estimated mass of free glycerol per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.","Unckless, Rottschaefer and Lazzaro (2015) G3"
