Trait,Sex,Trait guild,Trait description,Reference
2'-deoxyinosine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
2'-deoxyinosine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
2'-deoxyuridine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
2'-deoxyuridine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
2'-O-methylguanosine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
2'-O-methylguanosine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-(4-hydroxyphenyl)lactate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-(4-hydroxyphenyl)lactate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-aminoisobutyrate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-aminoisobutyrate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxy-3-methylglutarate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxy-3-methylglutarate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxybutyrate (BHBA).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxybutyrate (BHBA).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxybutyrylcarnitine (2).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxybutyrylcarnitine (2).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxydecanoate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxydecanoate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxyisobutyrate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxyisobutyrate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxykynurenine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxykynurenine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxylaurate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxylaurate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxymyristate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxymyristate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxyoctanoate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxyoctanoate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxypalmitate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxypalmitate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxypropanoate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxypropanoate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxysebacate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxysebacate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxysuberate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-hydroxysuberate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-ketosphinganine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-ketosphinganine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-methyl-2-oxobutyrate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-methyl-2-oxobutyrate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-methyl-2-oxovalerate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-methyl-2-oxovalerate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-methylcytidine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-methylcytidine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-methylhistidine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-methylhistidine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-phosphoglycerate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-phosphoglycerate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-ureidopropionate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
3-ureidopropionate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"3,4-dihydroxyphenylacetate.f",Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"3,4-dihydroxyphenylacetate.m",Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
4-guanidinobutanoate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
4-guanidinobutanoate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
4-hydroxybenzoate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
4-hydroxybenzoate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
4-hydroxybutyrate (GHB).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
4-hydroxybutyrate (GHB).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
4-hydroxyhippurate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
4-hydroxyhippurate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
4-hydroxyphenylpyruvate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
4-hydroxyphenylpyruvate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
4-imidazoleacetate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
4-imidazoleacetate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
4-methyl-2-oxopentanoate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
4-methyl-2-oxopentanoate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
5-aminolevulinate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
5-aminolevulinate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
5-dodecenoate (12:1n7).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
5-dodecenoate (12:1n7).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
5-methylthioadenosine (MTA).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
5-methylthioadenosine (MTA).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
5-methyluridine (ribothymidine).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
5-methyluridine (ribothymidine).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
5-oxoproline.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
5-oxoproline.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
6-phosphogluconate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
6-phosphogluconate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
7-methylguanine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
7-methylguanine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
7-methylguanosine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
7-methylguanosine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"9,10-DiHOME.f",Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"9,10-DiHOME.m",Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
acetylcarnitine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
acetylcarnitine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
acetylphosphate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
acetylphosphate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
aconitate [cis or trans].f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
aconitate [cis or trans].m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
adenine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
adenine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
adenosine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
adenosine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
adenosine 3'-monophosphate (3'-AMP).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
adenosine 3'-monophosphate (3'-AMP).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
adenosine 5'-monophosphate (AMP).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
adenosine 5'-monophosphate (AMP).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"adenosine-2',3'-cyclic monophosphate.f",Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"adenosine-2',3'-cyclic monophosphate.m",Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
adipate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
adipate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
alanine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
alanine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
alanylleucine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
alanylleucine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
allantoin.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
allantoin.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
alpha-hydroxyisocaproate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
alpha-hydroxyisocaproate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
alpha-hydroxyisovalerate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
alpha-hydroxyisovalerate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
alpha-ketoglutarate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
alpha-ketoglutarate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
alpha-tocopherol.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
alpha-tocopherol.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
alpha-tocotrienol.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
alpha-tocotrienol.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
arabitol_xylitol.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
arabitol_xylitol.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
arabonate_xylonate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
arabonate_xylonate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
arachidate (20:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
arachidate (20:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
arginine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
arginine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
argininosuccinate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
argininosuccinate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
asparagine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
