Trait,Sex,Trait guild,Trait description,Reference,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp
G1P.G6P.F6P.F1P.low.yeast,Female,Metabolome,"Mean relative G1P, G6P, F6P and F1P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolites. Note these flies come from the same populations as used by Wilson et al (2020).",Jin et al (2020) PLOS Genetics,0.19,0.62,0.81,0.23,0.15,0.3,0.16,0.23
Gardnerella.vaginalis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.07,1.07,0,0.14,0.29,0.17,0.13
Gardnerella.vaginalis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.1,0.8,0.9,0.11,0.14,0.29,0.16,0.18
Gemmata.obscuriglobus,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.02,0.96,0.98,0.02,0.12,0.26,0.15,0.13
Gemmata.obscuriglobus,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.22,0.56,0.78,0.28,0.17,0.32,0.17,0.27
Gemmata.sp.,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.02,1.02,0,0.16,0.33,0.19,0.15
Gemmata.sp.,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.08,0.85,0.93,0.08,0.18,0.37,0.2,0.21
genital.licking.frequency,Male,Behavioural,"Mean number of genital licks by DGRP male while courting a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater frequency of genital licking, and potentially more persistent courtship.",Gaertner et al (2015) G3,0.45,0,0.45,1,0.12,0.21,0.11,0.47
geranyl.pyrophosphate.high.yeast,Female,Metabolome,Mean relative geranyl pyrophosphate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.1,1.1,0,0.22,0.45,0.25,0.2
geranyl.pyrophosphate.low.yeast,Female,Metabolome,Mean relative geranyl pyrophosphate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.08,0.84,0.92,0.09,0.15,0.32,0.18,0.18
Gluconacetobacter.diazotrophicus,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.23,0.54,0.77,0.3,0.17,0.33,0.17,0.28
Gluconacetobacter.diazotrophicus,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.06,1.06,0,0.22,0.45,0.24,0.21
Gluconobacter.frateurii,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.11,0.78,0.89,0.12,0.14,0.28,0.16,0.17
Gluconobacter.frateurii,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.02,0.96,0.98,0.02,0.14,0.29,0.17,0.14
Gluconobacter.morbifer,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.11,0.78,0.89,0.12,0.15,0.3,0.17,0.19
Gluconobacter.morbifer,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.04,0.93,0.96,0.04,0.14,0.29,0.17,0.15
Gluconobacter.oxydans,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.12,0.76,0.88,0.13,0.14,0.29,0.16,0.18
Gluconobacter.oxydans,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.05,0.91,0.95,0.05,0.14,0.29,0.17,0.15
Gluconobacter.thailandicus,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.14,0.71,0.86,0.17,0.15,0.31,0.17,0.21
Gluconobacter.thailandicus,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.21,0.58,0.79,0.27,0.17,0.32,0.17,0.26
glucoronate.high.yeast,Female,Metabolome,Mean relative glucoronate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.16,0.67,0.83,0.2,0.16,0.32,0.17,0.23
glucoronate.low.yeast,Female,Metabolome,Mean relative glucoronate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.1,0.8,0.9,0.11,0.18,0.36,0.2,0.22
glucose.2015,Male,Metabolome,Estimated mass of free glucose per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3",0.05,0.91,0.97,0.05,0.18,0.37,0.21,0.19
glucose.anexic,Male,Microbiome,"Mean combined glucose content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher glucose content.",Dobson et al (2015) Nature Communications,0.26,0.48,0.74,0.35,0.23,0.44,0.23,0.41
glucose.gnotobiotic,Male,Micobiome,"Mean combined glucose content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher glucose content.",Dobson et al (2015) Nature Communications,0.05,0.9,0.95,0.05,0.14,0.3,0.18,0.16
glucose.high.glucose.diet,Male,Metabolome,Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of free glucose.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.33,0.3,0.64,0.52,0.15,0.28,0.15,0.34
glucose.high.yeast,Female,Metabolome,Mean relative glucose concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.23,0.53,0.77,0.31,0.18,0.34,0.18,0.29
glucose.low.glucose.diet,Male,Metabolome,Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of free glucose.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.09,0.84,0.93,0.09,0.22,0.44,0.24,0.26
glucose.low.yeast,Female,Metabolome,Mean relative glucose concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.29,0.42,0.71,0.41,0.16,0.3,0.16,0.3
glucose.medium.glucose.diet,Male,Metabolome,Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of free glucose.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.25,0.48,0.73,0.34,0.16,0.32,0.17,0.29
glucose.microbiome.effect,Male,Microbiome,"Mean change in the combined glucose content of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher glucose content. Note though that the presence of micriobiota on average decreased glucose content.",Dobson et al (2015) Nature Communications,0,1.01,1.01,0,0.27,0.55,0.3,0.27
glucose.yeast.poor.diet,Female,Metabolome,Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 0.5% yeast content (dietary restricted) were homogenised. Higher values indicate higher glucose levels.,Nelson et al (2016) BMC Genomics,0.21,0.58,0.79,0.27,0.19,0.37,0.19,0.3
glucose.yeast.rich.diet,Female,Metabolome,Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 5% yeast content (ab libitum diet) were homogenised. Higher values indicate higher glucose levels.,Nelson et al (2016) BMC Genomics,0.21,0.58,0.79,0.27,0.18,0.35,0.19,0.28
glutamic.acid.high.yeast,Female,Metabolome,Mean relative glutamic acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.07,0.85,0.93,0.08,0.19,0.38,0.21,0.22
glutamic.acid.low.yeast,Female,Metabolome,Mean relative glutamic acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.41,1.41,0,0.27,0.54,0.3,0.19
glutamine.high.yeast,Female,Metabolome,Mean relative glutamine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.01,0.98,0.99,0.01,0.19,0.4,0.22,0.2
glutamine.low.yeast,Female,Metabolome,Mean relative glutamine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.01,0.98,0.99,0.01,0.19,0.4,0.22,0.2
glyceraldehyde.high.yeast,Female,Metabolome,Mean relative glyceraldehyde concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.09,0.81,0.91,0.1,0.2,0.41,0.22,0.25
glyceraldehyde.low.yeast,Female,Metabolome,Mean relative glyceraldehyde concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.2,0.61,0.8,0.25,0.18,0.34,0.18,0.27
glycerate.high.yeast,Female,Metabolome,Mean relative glycerate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.15,0.7,0.85,0.17,0.16,0.32,0.18,0.22
glycerate.low.yeast,Female,Metabolome,Mean relative glycerate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.24,0.5,0.74,0.32,0.13,0.25,0.14,0.22
glycerol-3-P.high.yeast,Female,Metabolome,Mean relative glycerol-3-P concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.05,1.05,0,0.22,0.45,0.24,0.21
glycerol-3-P.low.yeast,Female,Metabolome,Mean relative glycerol-3-P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.15,1.15,0,0.24,0.5,0.27,0.21
glycerol.2015,Male,Metabolome,Estimated mass of free glycerol per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3",0.29,0.4,0.69,0.42,0.2,0.38,0.2,0.39
glycerol.high.glucose.diet,Male,Metabolome,Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of glycerol.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.02,0.94,0.96,0.02,0.22,0.45,0.25,0.23
glycerol.low.glucose.diet,Male,Metabolome,Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of glycerol.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.44,0.12,0.56,0.79,0.19,0.34,0.17,0.55
glycerol.medium.glucose.diet,Male,Metabolome,Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of glycerol.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.26,0.48,0.74,0.35,0.24,0.45,0.23,0.42
glycine.high.yeast,Female,Metabolome,Mean relative glycine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.09,1.09,0,0.18,0.38,0.22,0.17
glycine.low.yeast,Female,Metabolome,Mean relative glycine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.27,0.47,0.74,0.37,0.19,0.36,0.18,0.33
glycogen.2015,Male,Metabolome,Estimated mass of glycogen stores per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3",0.11,0.77,0.88,0.13,0.23,0.46,0.25,0.29
glycogen.high.glucose.diet,Male,Metabolome,Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of glycogen.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.42,0.18,0.6,0.69,0.23,0.42,0.21,0.6
glycogen.low.glucose.diet,Male,Metabolome,Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of glycogen.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.46,0,0.46,1,0.16,0.28,0.14,0.61
glycogen.medium.glucose.diet,Male,Metabolome,Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of glycogen.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.45,0,0.45,1,0.17,0.31,0.15,0.68
GMP.high.yeast,Female,Metabolome,Mean relative GMP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.15,1.15,0,0.18,0.38,0.22,0.16
GMP.low.yeast,Female,Metabolome,Mean relative GMP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.27,0.46,0.73,0.37,0.15,0.29,0.15,0.27
guanosine.high.yeast,Female,Metabolome,Mean relative guanosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.2,0.61,0.81,0.24,0.19,0.36,0.19,0.28
guanosine.low.yeast,Female,Metabolome,Mean relative guanosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.16,1.16,0,0.22,0.45,0.25,0.19
gustatory.response.ethanol,Female,Sensory,"Flies were given a choice between sucrose solution and sucrose solution supplemented with ethanol. Higher values indicate a preference for the ethanol supplemented sucrose, while lower values indicate an aversion towards the ethanol supplemented sucrose.",Chohan (2012) PhD thesis,0.39,0.21,0.61,0.65,0.16,0.3,0.15,0.41
gustatory.response.ethanol,Male,Sensory,"Flies were given a choice between sucrose solution and sucrose solution supplemented with ethanol. Higher values indicate a preference for the ethanol supplemented sucrose, while lower values indicate an aversion towards the ethanol supplemented sucrose.",Chohan (2012) PhD thesis,0.36,0,0.36,1,0.1,0.19,0.09,0.52
gut.permeability,Female,Physiology,"The mean proportion of 19 day-old flies with permeable guts, following no exposure to radiation. Gut permeability is an indicator of intestinal damage, and in this case was detected using the smurf assay. Higher values indicate greater intestinal damage.",Sharma et al (2020) Scientific reports,0.48,0,0.48,1,0.12,0.19,0.1,0.39
gut.permeability.radiation,Female,Physiology,"The mean proportion of 19 day-old flies with permeable guts, following exposure to 100 gray units of ionising radiation when flies were 5 days old. Gut permeability is an indicator of intestinal damage, and in this case was detected using the smurf assay. Higher values indicate greater intestinal damage.",Sharma et al (2020) Scientific reports,0,1.15,1.15,0,0.28,0.56,0.3,0.24
histamine.high.yeast,Female,Metabolome,Mean relative histamine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.07,0.86,0.93,0.07,0.13,0.28,0.16,0.15
histamine.low.yeast,Female,Metabolome,Mean relative histamine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.2,0.59,0.79,0.25,0.15,0.29,0.16,0.23
histidine.high.yeast,Female,Metabolome,Mean relative histidine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.07,0.86,0.93,0.08,0.14,0.29,0.17,0.16
histidine.low.yeast,Female,Metabolome,Mean relative histidine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.39,0.2,0.6,0.66,0.12,0.21,0.11,0.29
homogentisate.high.yeast,Female,Metabolome,Mean relative homogentisate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.31,0.38,0.69,0.45,0.16,0.29,0.15,0.31
homogentisate.low.yeast,Female,Metabolome,Mean relative homogentisate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.48,0,0.48,1,0.11,0.17,0.09,0.36
hydrogen.peroxide.resistance,Female,Stress response,Lifespan on a diet supplemented with 2-3% hydrogen peroxide (H2O2). Data are corrected for line body mass. Higher values indicate greater resistance to hydrogen peroxide.,Harrison et al (2020) BMC Genomics,0.16,0.69,0.84,0.19,0.18,0.35,0.19,0.25
Hymenobacter.sp.,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.3,0.41,0.71,0.42,0.15,0.28,0.15,0.29
Hymenobacter.sp.,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.38,0.25,0.63,0.6,0.15,0.26,0.13,0.34
Hymenobacter.swuensis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.08,0.84,0.92,0.09,0.16,0.33,0.18,0.19
Hymenobacter.swuensis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.19,0.62,0.81,0.23,0.14,0.27,0.15,0.21
hypoxanthine.high.yeast,Female,Metabolome,Mean relative hypoxanthine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1,1,0,0.18,0.38,0.21,0.18
hypoxanthine.low.yeast,Female,Metabolome,Mean relative hypoxanthine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.2,0.61,0.8,0.24,0.16,0.31,0.17,0.24
Ideonella.sp.,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.23,0.54,0.77,0.3,0.14,0.27,0.15,0.23
Ideonella.sp.,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.13,1.13,0,0.17,0.36,0.2,0.16
imidacloprid.resistance.100p,Pooled,Insecticide response,"Mean wiggle index for third instar larvae 1 hour into exposure to 100ppm of imidacloprid, a neonicotinoid pesticide. The wiggle index measures the relative movement ratio for larvae before and after they were exposed to imidacloprid. Higher values indicate a smaller decrease in motility and therefore greater resistance to imidacloprid.",Denecke et al (2017) Scientific Reports,0.49,0,0.49,1,0.13,0.19,0.1,0.4
imidacloprid.resistance.25p,Pooled,Insecticide response,"Mean wiggle index for third instar larvae 1 hour into exposure to 25ppm of imidacloprid, a neonicotinoid pesticide. The wiggle index measures the relative movement ratio for larvae before and after they were exposed to imidacloprid. Higher values indicate a smaller decrease in motility and therefore greater resistance to imidacloprid.",Denecke et al (2017) Scientific Reports,0.06,0.88,0.94,0.06,0.17,0.34,0.19,0.19
IMP.high.yeast,Female,Metabolome,Mean relative IMP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.01,0.99,0.99,0.01,0.14,0.3,0.17,0.14
IMP.low.yeast,Female,Metabolome,Mean relative IMP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.15,0.7,0.85,0.18,0.14,0.28,0.16,0.19
inosine.high.yeast,Female,Metabolome,Mean relative inosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.09,0.81,0.91,0.1,0.17,0.34,0.19,0.2
inosine.low.yeast,Female,Metabolome,Mean relative inosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.15,0.69,0.85,0.18,0.18,0.36,0.19,0.25
inositol.high.yeast,Female,Metabolome,Mean relative inositol concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.15,0.69,0.85,0.18,0.17,0.35,0.19,0.24
inositol.low.yeast,Female,Metabolome,Mean relative inositol concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.01,1.01,0,0.18,0.38,0.21,0.18
interocular.distance,Female,Morphological,Mean Interocular distance. This is measured from eye edge to eye edge along the anterior edge of the posterior ocelli and palel to the base of the head. Higher values indicate a greater distance between the eyes.,Vonesch et al (2016) PLOS Genetics,0.28,0.42,0.7,0.4,0.13,0.24,0.14,0.24
interocular.distance,Male,Morphological,Mean Interocular distance. This is measured from eye edge to eye edge along the anterior edge of the posterior ocelli and palel to the base of the head. Higher values indicate a greater distance between the eyes.,Vonesch et al (2016) PLOS Genetics,0.33,0.32,0.66,0.51,0.15,0.26,0.14,0.31
IPI,Male,Behavioural,"Median interpulse interval (IPI) in the male courtship 'song'. Males in many Drosophila species produce a series of auditory pulses (a pulse 'song') when courting females, and the pause between pulses (IPI) varies greatly among species. Higher values indicate a longer IPI.","Turner, Miller and Cochrane (2013) Molecular Biology and Evolution",0.37,0.22,0.59,0.63,0.17,0.3,0.15,0.43
iso-leucine.high.yeast,Female,Metabolome,Mean relative iso-leucine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.01,0.99,0.99,0.01,0.16,0.33,0.19,0.16
iso-leucine.low.yeast,Female,Metabolome,Mean relative iso-leucine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.26,0.48,0.73,0.35,0.15,0.28,0.15,0.26
isolated.aggression,Male,Behavioural,Mean number of aggressive encounters over a two-minute period between pairs of males; a DGRP male and a control Canton-SB male. The DGRP male was housed in isolation for the 3 days preceding the aggression assay. Higher values indicate more aggressive males.,Rohde et al (2017) Genetics,0.46,0,0.46,1,0.32,0.59,0.29,1.27
isoValeric.acid.high.yeast,Female,Metabolome,Mean relative isoValeric acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.18,0.65,0.82,0.22,0.18,0.35,0.19,0.26
